ItemNumber,DescLine1,DescLine2,PackSize,Brand,UPC,VIN,Symbol,Price,PerUnit,ComparativePrice,ComparativeUnits,VenderID
3291813,ROUND ONION,"",1 / 3.0 LB,PACKER,33383600024,"","",$1.71,UNIT,0.57,PER LB,8100
292203,HEIRLOOM BABY TOMATO,"",12 / 1.0 PT,PACKER,"",73551,&,$47.9,UNIT,3.9916666666666667,PER PT,8100
292209,FRESH TOMATO,H-1,1 / 25.0 LB,PACKER,"",1780,&,$27.48,UNIT,1.0992,PER LB,8100
292210,FRESH TOMATO,H-1,5 / 5.0 LB,PACKER,"",982,&,$32.41,UNIT,1.2963999999999998,PER LB,8100
292213,ROMA TOMATO,H-1,1 / 25.0 LB,PACKER,"",861,&,$33.13,UNIT,1.3252000000000002,PER LB,8100
3292210,FRESH TOMATO,H-1,1 / 5.0 LB,PACKER,3292210,982,"",$7.43,UNIT,1.486,PER LB,8100
295320,MANGO,"",8 / 10.0 CT,PACKER,"",5502,&,$18.12,UNIT,0.2265,PER CT,8100
295339,KIWI,"",1 / 27.0 CT,PACKER,"",938,&,$17.09,UNIT,0.632962962962963,PER CT,8100
3292024,SERRANO PEPPER,"",1 / 2.0 LB,PACKER,763478006447,72332,"",$8.23,UNIT,4.115,PER LB,8100
3295301,SEEDLESS WATERMELON,"",1 / 1.0 EA,PACKER,"",1145,"",$10.32,UNIT,,,8100
3295303,HONEYDEW,FRESH,1 / 1.0 EA,PACKER,"",5434,"",$6.18,UNIT,,,8100
3295312,CANTALOUPE,FRESH,1 / 1.0 EA,PACKER,295312,5254,"",$4.63,UNIT,,,8100
292305,LEEK,"",1 / 1.0 BUNCH,PACKER,"",516,&,$6.35,UNIT,,,8100
3292203,HEIRLOOM BABY TOMATO,"",1 / 1.0 PT,PACKER,045255143010,73551,"",$4.76,UNIT,,,8100
3292211,CHERRY TOMATO,"",1 / 1.0 PT,PACKER,406048088251,1664,"",$4.65,UNIT,,,8100
295340,GREEN GRAPES,SEEDLESS,10 / 1.5 LB,PACKER,"",472,&,$43.96,UNIT,2.9306666666666668,PER LB,8100
3295340,GREEN GRAPES,SEEDLESS,1 / 1.5 LB,PACKER,891046001119,"","",$4.15,UNIT,2.766666666666667,PER LB,8624
41995,FETA CHEESE,DOMESTIC,2 / 9.0 LB,ATHENOS,10070277623001,"",B,$52.199999999999996,UNIT,2.9,PER LB,8576
41996,FETA CHEESE,"",2 / 4.0 LB,ATHENOS,10070277290746,"",B,$23.68,UNIT,2.96,PER LB,8576
42132,GORGONZOLA,SPLIT WHEEL,1 / 9.0 LB,STELLA,"","",B,$3.67,PER LB,,,2558
3041995,FETA CHEESE,DOMESTIC,1 / 9.0 LB,ATHENOS,070277623004,"","",$34.199999999999996,UNIT,3.8,PER LB,8576
3041996,FETA CHEESE,"",1 / 4.0 LB,ATHENOS,070277290749,"","",$15.56,UNIT,3.89,PER LB,8576
